date,category,vendor,amount,paid_by,notes
2024-06-15,rent,Landlord,1800.00,alex,june 2024 rent
2024-06-03,utilities,PG&E,110.00,alex,electric
2024-06-07,utilities,Comcast,89.99,alex,internet
2024-06-23,utilities,Water,38.00,alex,
2024-06-04,groceries,Trader Joes,45.00,alex,
2024-06-08,groceries,Whole Foods,58.70,alex,
2024-06-12,groceries,Safeway,72.40,alex,
2024-06-16,groceries,Berkeley Bowl,86.10,alex,
2024-06-20,groceries,Rainbow,99.80,alex,
2024-06-24,groceries,Costco,113.50,alex,
2024-06-10,dining,Nopa,20.00,alex,dinner
2024-06-19,dining,Souvla,18.00,alex,lunch
2024-06-26,household,Target,25.00,alex,supplies
2024-07-15,rent,Landlord,1800.00,alex,july 2024 rent
2024-07-03,utilities,PG&E,111.37,alex,electric
2024-07-07,utilities,Comcast,89.99,alex,internet
2024-07-23,utilities,Water,38.53,alex,
2024-07-04,groceries,Whole Foods,54.00,alex,
2024-07-08,groceries,Safeway,67.70,alex,
2024-07-12,groceries,Berkeley Bowl,81.40,alex,
2024-07-16,groceries,Rainbow,95.10,alex,
2024-07-20,groceries,Costco,108.80,alex,
2024-07-24,groceries,Trader Joes,122.50,alex,
2024-07-10,dining,Zuni,22.10,alex,dinner
2024-07-19,dining,Tartine,19.70,alex,lunch
2024-07-26,household,Bi-Rite,28.30,alex,supplies
2024-08-15,rent,Landlord,1800.00,alex,august 2024 rent
2024-08-03,utilities,PG&E,112.74,alex,electric
2024-08-07,utilities,Comcast,89.99,alex,internet
2024-08-23,utilities,Water,39.06,alex,
2024-08-04,groceries,Safeway,63.00,alex,
2024-08-08,groceries,Berkeley Bowl,76.70,alex,
2024-08-12,groceries,Rainbow,90.40,alex,
2024-08-16,groceries,Costco,104.10,alex,
2024-08-20,groceries,Trader Joes,117.80,alex,
2024-08-24,groceries,Whole Foods,131.50,alex,
2024-08-10,dining,Souvla,24.20,alex,dinner
2024-08-19,dining,Delfina,21.40,alex,lunch
2024-08-26,household,Target,31.60,alex,supplies
2024-09-15,rent,Landlord,1800.00,alex,september 2024 rent
2024-09-03,utilities,PG&E,114.11,alex,electric
2024-09-07,utilities,Comcast,89.99,alex,internet
2024-09-23,utilities,Water,39.59,alex,
2024-09-04,groceries,Berkeley Bowl,72.00,alex,
2024-09-08,groceries,Rainbow,85.70,alex,
2024-09-12,groceries,Costco,99.40,alex,
2024-09-16,groceries,Trader Joes,113.10,alex,
2024-09-20,groceries,Whole Foods,126.80,alex,
2024-09-24,groceries,Safeway,140.50,alex,
2024-09-10,dining,Tartine,26.30,alex,dinner
2024-09-19,dining,Nopa,23.10,alex,lunch
2024-09-26,household,Bi-Rite,34.90,alex,supplies
2024-10-15,rent,Landlord,1800.00,alex,october 2024 rent
2024-10-03,utilities,PG&E,115.48,alex,electric
2024-10-07,utilities,Comcast,89.99,alex,internet
2024-10-23,utilities,Water,40.12,alex,
2024-10-04,groceries,Rainbow,81.00,alex,
2024-10-08,groceries,Costco,94.70,alex,
2024-10-12,groceries,Trader Joes,108.40,alex,
2024-10-16,groceries,Whole Foods,122.10,alex,
2024-10-20,groceries,Safeway,135.80,alex,
2024-10-24,groceries,Berkeley Bowl,149.50,alex,
2024-10-10,dining,Delfina,28.40,alex,dinner
2024-10-19,dining,Zuni,24.80,alex,lunch
2024-10-26,household,Target,38.20,alex,supplies
2024-11-15,rent,Landlord,1800.00,alex,november 2024 rent
2024-11-03,utilities,PG&E,116.85,alex,electric
2024-11-07,utilities,Comcast,89.99,alex,internet
2024-11-23,utilities,Water,40.65,alex,
2024-11-04,groceries,Costco,90.00,alex,
2024-11-08,groceries,Trader Joes,103.70,alex,
2024-11-12,groceries,Whole Foods,117.40,alex,
2024-11-16,groceries,Safeway,131.10,alex,
2024-11-20,groceries,Berkeley Bowl,144.80,alex,
2024-11-24,groceries,Rainbow,158.50,alex,
2024-11-10,dining,Nopa,30.50,alex,dinner
2024-11-19,dining,Souvla,26.50,alex,lunch
2024-11-26,household,Bi-Rite,41.50,alex,supplies
2024-12-15,rent,Landlord,1800.00,alex,december 2024 rent
2024-12-03,utilities,PG&E,118.22,alex,electric
2024-12-07,utilities,Comcast,89.99,alex,internet
2024-12-23,utilities,Water,41.18,alex,
2024-12-04,groceries,Trader Joes,99.00,alex,
2024-12-08,groceries,Whole Foods,112.70,alex,
2024-12-12,groceries,Safeway,126.40,alex,
2024-12-16,groceries,Berkeley Bowl,140.10,alex,
2024-12-20,groceries,Rainbow,153.80,alex,
2024-12-24,groceries,Costco,167.50,alex,
2024-12-10,dining,Zuni,32.60,alex,dinner
2024-12-19,dining,Tartine,28.20,alex,lunch
2024-12-26,household,Target,44.80,alex,supplies
2025-01-15,rent,Landlord,1800.00,alex,january 2025 rent
2025-01-03,utilities,PG&E,119.59,alex,electric
2025-01-07,utilities,Comcast,89.99,alex,internet
2025-01-23,utilities,Water,41.71,alex,
2025-01-04,groceries,Whole Foods,108.00,alex,
2025-01-08,groceries,Safeway,121.70,alex,
2025-01-12,groceries,Berkeley Bowl,135.40,alex,
2025-01-16,groceries,Rainbow,149.10,alex,
